Trajectory file for run 'run1'; etymon number :512:
#krˈeːt̪ɑm# >>> #kʁɛ# ( Correct : #kʁɛ#) :
k r ˈeː t̪ ɑ m 
#krˈet̪ɑm# | Rule 58 : [+syl,+long] > [-long,-splng] 
#krˈet̪ɑ# | Rule 74 : [+nas,+cons] > ∅ / [-stres] __ #
#krˈeːt̪ɑ# | Rule 116 : [+prim] > [+long] / __ [+cons] [-cons]
#krˈeːt̪a# | Rule 205 : [+lo] > [+front,-back] 
#krˈeːd̪a# | Rule 360 : [-voi] > [+voi] / [-cons] __ [-cons]
#krˈeːða# | Rule 385 : [-delrel,+voi] > [+cont,0delrel] / [-cons] __ [-cons]
#krˈejða# | Rule 420 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#krˈejðə# | Rule 447 : a > ə / [+syl] ( [-syl] )* __ 
#krˈojðə# | Rule 545 : [+front,+tense,-hi,-lo,+syl] > [+back,-front,+round,+lab] / __ j
#krˈujðə# | Rule 566 : [+round,+tense,+back] > [+hi] 
#krˈʌjðə# | Rule 603 : ˈu > ˈʌ / __ j [+ant,+voi,+distr] ( r ) ə #
#krˈʌjə# | Rule 607 : {θ;ð} > {∅;∅} 
#krˈajə# | Rule 618 : ˈʌ > ˈa 
#krˈaːjə# | Rule 704 : [+prim] > [+long] / __ ( j ) ə #
#krˈaːj# | Rule 706 : ə > ∅ / [+prim] ( j ) __ 
#krˈɛː# | Rule 708 : ˈaː j > ˈɛː / __ #
#kʀˈɛː# | Rule 751 : r > ʀ 
#kʀɛː# | Rule 752 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#kʀɛ# | Rule 753 : [+syl,+long] > [-long,-splng] 
#kʁɛ# | Rule 759 : ʀ > ʁ 
